vocabulary_id,vocabulary_name,vocabulary_reference,vocabulary_version,vocabulary_concept_id
HCPCS,Healthcare Common Procedure Coding System (CMS),http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html,20240101 Alpha Numeric HCPCS File,44819101
SOPT,Source of Payment Typology (PHDSC),https://www.nahdo.org/sopt,SOPT Version 9.2,32473
Episode,OMOP Episode,OMOP generated,Episode 20201014,32523
ICD9Proc,"International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 3 (NCHS)",http://www.cms.gov/Medicare/Coding/ICD9ProviderDiagnosticCodes/codes.html,ICD9CM v32 master descriptions,44819099
Observation Type,OMOP Observation Type,OMOP generated,,44819129
Procedure Type,OMOP Procedure Occurrence Type,OMOP generated,,44819128
Meas Type,OMOP Measurement Type,OMOP generated,,44819152
NDC,National Drug Code (FDA and manufacturers),"http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html, http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/UCM070838.zip",NDC 20240225,44819105
SPL,Structured Product Labeling (FDA),http://www.fda.gov/Drugs/InformationOnDrugs/ucm142438.htm,NDC 20240225,44819140
Visit,OMOP Visit,OMOP generated,Visit 20211216,44819119
US Census,Census regions of the United States (USCB),https://www.census.gov/geo/maps-data/data/tiger-cart-boundary.html,US Census 2017 Release,32570
ATC,WHO Anatomic Therapeutic Chemical Classification,http://www.whocc.no/atc_ddd_index/,RxNorm 20210907,44819117
UB04 Typ bill,UB04 Type of Bill - Institutional (USHIK),https://ushik.ahrq.gov/ViewItemDetails?&system=apcd&itemKey=196987000,,32044
Concept Class,OMOP Concept Class,OMOP generated,,44819233
Condition Type,OMOP Condition Occurrence Type,OMOP generated,,44819127
Obs Period Type,OMOP Observation Period Type,OMOP generated,,44819149
Domain,OMOP Domain,OMOP generated,,44819147
None,OMOP Standardized Vocabularies,OMOP generated,v5.0 29-FEB-24,44819096
Visit Type,OMOP Visit Type,OMOP generated,,44819150
Currency,International Currency Symbol (ISO 4217),http://www.iso.org/iso/home/standards/currency_codes.htm,2008,44819153
Condition Status,OMOP Condition Status,OMOP generated,,32887
ICD9CM,"International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 1 and 2 (NCHS)",http://www.cms.gov/Medicare/Coding/ICD9ProviderDiagnosticCodes/codes.html,ICD9CM v32 master descriptions,5046
Plan,OMOP Health Plan,OMOP generated,,32471
OMOP Extension,OMOP Extension (OHDSI),OMOP generated,OMOP Extension 20240228,32758
RxNorm,RxNorm (NLM),http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html,RxNorm 20240102,44819104
Drug Type,OMOP Drug Exposure Type,OMOP generated,,44819126
Ethnicity,OMOP Ethnicity,OMOP generated,,44819134
UCUM,Unified Code for Units of Measure (Regenstrief Institute),http://aurora.regenstrief.org/~ucum/ucum.html#section-Alphabetic-Index,Version 1.8.2,44819107
Cost Type,OMOP Cost Type,OMOP generated,,5029
Metadata,OMOP Metadata,OMOP generated,,32675
Medicare Specialty,Medicare provider/supplier specialty codes (CMS),http://www.cms.gov/Medicare/Provider-Enrollment-and-Certification/MedicareProviderSupEnroll/Taxonomy.html,2018-06-26 Specialty,44819138
Relationship,OMOP Relationship,OMOP generated,,44819235
Race,Race and Ethnicity Code Set (USBC),http://www.cdc.gov/nchs/data/dvs/Race_Ethnicity_CodeSet.pdf,Version 1.0,44819109
Device Type,OMOP Device Type,OMOP generated,,44819151
Sponsor,OMOP Sponsor,OMOP generated,,32472
RxNorm Extension,OMOP RxNorm Extension,OMOP generated,RxNorm Extension 2024-01-25,252
UB04 Point of Origin,UB04 Claim Source Inpatient Admission Code (CMS),https://www.resdac.org/cms-data/variables/Claim-Source-Inpatient-Admission-Code,,32045
CMS Place of Service,Place of Service Codes for Professional Claims (CMS),http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/PhysicianFeeSched/downloads//Website_POS_database.pdf,2009-01-11,44819110
ABMS,Provider Specialty (American Board of Medical Specialties),http://www.abms.org/member-boards/specialty-subspecialty-certificates,2018-06-26 ABMS,45756746
Plan Stop Reason,OMOP Plan Stop Reason,OMOP generated,,32474
Korean Revenue Code,Korean Revenue Code (KNHIS),OMOP generated,,32724
