concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
40316773,Prediabetes,Condition,SNOMED,Clinical Finding,"",15777000,1970-01-01,2002-01-31,U
4041881,Urine protein test,Measurement,SNOMED,Procedure,"",167271000,2002-01-31,2020-07-31,U
4061811,Rubella screening,Procedure,SNOMED,Procedure,"",169690007,2002-01-31,2019-07-31,U
4166590,Brain damage - traumatic,Condition,SNOMED,Clinical Finding,"",275272006,2002-01-31,2018-01-31,U
40521057,[X]Persons encountering health services in circumstances related to reproduction,Observation,SNOMED,Context-dependent,"",316744009,2002-01-31,2009-01-31,D
4300017,Enema,Observation,SNOMED,Qualifier Value,"",385186005,2003-01-31,2019-01-31,U
4215570,Cancer care plan,Type Concept,SNOMED,Qualifier Value,"",395082007,2003-01-31,2018-01-31,U
4135423,Chronic obstructive pulmonary disease clinical management plan,Type Concept,SNOMED,Qualifier Value,"",412776001,2004-07-31,2018-01-31,U
40619801,Premature birth of newborn,Condition,SNOMED,Clinical Finding,"",65588006,1970-01-01,2002-01-31,U
40623280,Parturition,Observation,SNOMED,Observable Entity,"",66348005,2002-01-31,2003-01-31,D
44784290,Diabetes self management plan,Type Concept,SNOMED,Qualifier Value,"",698360004,2014-01-31,2018-01-31,U
37017711,Allergy to soy,Observation,SNOMED,Clinical Finding,"",714035009,2016-01-31,2019-01-31,U
44804737,Major surgery care management,Procedure,SNOMED,Procedure,"",781831000000109,2011-10-03,2018-04-01,U
44805114,Depression care management,Procedure,SNOMED,Procedure,"",784051000000106,2011-10-03,2018-10-01,U
442116,Allergy to edible egg,Observation,SNOMED,Clinical Finding,"",91930004,2002-01-31,2020-07-31,U
4002575,Suicide precautions,Procedure,SNOMED,Procedure,S,10029008,2002-01-31,2099-12-31,
4008008,Eggs (edible),Observation,SNOMED,Substance,S,102263004,2002-01-31,2099-12-31,
4013010,Administration of intravenous fluids,Procedure,SNOMED,Procedure,S,103744005,2002-01-31,2099-12-31,
4014024,Heparin therapy,Procedure,SNOMED,Procedure,S,103746007,2002-01-31,2099-12-31,
4015590,Counseling for termination of pregnancy,Procedure,SNOMED,Procedure,S,10383002,2002-01-31,2099-12-31,
4015052,"Hemogram, automated, with RBC, WBC, Hgb, Hct, Indices, Platelet count, and manual WBC differential",Measurement,SNOMED,Procedure,S,104091002,2002-01-31,2099-12-31,
4015189,Microbial culture of sputum,Measurement,SNOMED,Procedure,S,104173009,2002-01-31,2099-12-31,
4018595,Measurement of Varicella-zoster virus antibody,Measurement,SNOMED,Procedure,S,104326007,2002-01-31,2099-12-31,
4018603,"Hepatitis C antibody, confirmatory test",Measurement,SNOMED,Procedure,S,104375008,2002-01-31,2099-12-31,
4018619,Screening for occult blood in feces,Measurement,SNOMED,Procedure,S,104435004,2002-01-31,2099-12-31,
260139,Acute bronchitis,Condition,SNOMED,Clinical Finding,S,10509002,2002-01-31,2099-12-31,
4022661,Housing problem,Observation,SNOMED,Clinical Finding,S,105531004,2002-01-31,2099-12-31,
4029702,Physician visit with evaluation AND/OR management service,Observation,SNOMED,Procedure,S,108219001,2002-01-31,2099-12-31,
4029715,Radiation oncology AND/OR radiotherapy,Procedure,SNOMED,Procedure,S,108290001,2002-01-31,2099-12-31,
4033731,Liquid diet,Observation,SNOMED,Clinical Finding,S,10888001,2002-01-31,2099-12-31,
79740,Overlapping malignant neoplasm of colon,Condition,SNOMED,Clinical Finding,S,109838007,2002-01-31,2099-12-31,
4001336,Concussion injury of brain,Condition,SNOMED,Clinical Finding,S,110030002,2002-01-31,2099-12-31,
40277917,Intellectual disability,Condition,SNOMED,Clinical Finding,S,110359009,2018-07-31,2099-12-31,
4008070,Latex,Observation,SNOMED,Substance,S,111088007,2002-01-31,2099-12-31,
43021839,Positive screening for depression on PHQ-9 (Patient Health Questionnaire 9),Condition,SNOMED,Clinical Finding,S,112001000119100,2013-01-31,2099-12-31,
43020419,Negative screening for depression on PHQ-9 (Patient Health Questionnaire 9),Condition,SNOMED,Clinical Finding,S,112011000119102,2013-01-31,2099-12-31,
43530622,Chronic neck pain,Condition,SNOMED,Clinical Finding,S,1121000119107,2012-09-01,2099-12-31,
4008261,Infection due to Pseudomonas aeruginosa,Condition,SNOMED,Clinical Finding,S,11218009,2002-01-31,2099-12-31,
4010253,Nasal sinus endoscopy,Procedure,SNOMED,Procedure,S,112790001,2002-01-31,2099-12-31,
4013354,Insertion of endotracheal tube,Procedure,SNOMED,Procedure,S,112798008,2002-01-31,2099-12-31,
4012477,Glucose tolerance test,Measurement,SNOMED,Procedure,S,113076002,2002-01-31,2099-12-31,
4012485,Interstitial brachytherapy,Procedure,SNOMED,Procedure,S,113120007,2002-01-31,2099-12-31,
4015701,Cesarean section,Procedure,SNOMED,Procedure,S,11466000,2002-01-31,2099-12-31,
37018897,Dietary Approaches to Stop Hypertension diet,Procedure,SNOMED,Procedure,S,1151000175103,2016-01-31,2099-12-31,
4024509,Urine culture,Measurement,SNOMED,Procedure,S,117010004,2002-01-31,2099-12-31,
4024958,Throat culture,Measurement,SNOMED,Procedure,S,117015009,2002-01-31,2099-12-31,
46270004,Increased physical activity,Condition,SNOMED,Clinical Finding,S,1171000175109,2015-07-31,2099-12-31,
4304821,Streptococcus pneumoniae group B antigen assay,Measurement,SNOMED,Procedure,S,118001005,2002-01-31,2099-12-31,
4041982,Diet education,Procedure,SNOMED,Procedure,S,11816003,2002-01-31,2099-12-31,
46270016,History of undergoing in utero procedure while a fetus,Observation,SNOMED,Context-dependent,S,120991000119102,2015-07-31,2099-12-31,
4047494,Biopsy of breast,Procedure,SNOMED,Procedure,S,122548005,2002-01-31,2099-12-31,
43530652,Chronic intractable migraine without aura,Condition,SNOMED,Clinical Finding,S,124171000119105,2013-07-31,2099-12-31,
4129902,Neoplasm of prostate,Condition,SNOMED,Clinical Finding,S,126906006,2002-01-31,2099-12-31,
192279,Disorder of kidney due to diabetes mellitus,Condition,SNOMED,Clinical Finding,S,127013003,2002-01-31,2099-12-31,
4132546,Traumatic brain injury,Condition,SNOMED,Clinical Finding,S,127295002,2002-01-31,2099-12-31,
4133840,Spirometry,Measurement,SNOMED,Procedure,S,127783003,2002-01-31,2099-12-31,
4134120,Cerebral palsy,Condition,SNOMED,Clinical Finding,S,128188000,2002-01-31,2099-12-31,
4029498,Seizure disorder,Condition,SNOMED,Clinical Finding,S,128613002,2002-01-31,2099-12-31,
44782746,Acute deep venous thrombosis,Condition,SNOMED,Clinical Finding,S,132281000119108,2013-03-01,2099-12-31,
4046550,Postoperative care,Observation,SNOMED,Procedure,S,133899007,2002-01-31,2099-12-31,
4305449,Burn care,Observation,SNOMED,Procedure,S,133901003,2002-01-31,2099-12-31,
4046554,Comfort measures,Observation,SNOMED,Procedure,S,133918004,2002-01-31,2099-12-31,
4047564,Routine antenatal care,Observation,SNOMED,Procedure,S,134435003,2002-01-31,2099-12-31,
4028665,Transfusion of plasma,Procedure,SNOMED,Procedure,S,13569004,2002-01-31,2099-12-31,
4047845,Antenatal education,Procedure,SNOMED,Procedure,S,135892000,2002-01-31,2099-12-31,
4030398,Amputation of arm through shoulder,Procedure,SNOMED,Procedure,S,13995008,2002-01-31,2099-12-31,
4030886,Intravenous infusion,Procedure,SNOMED,Procedure,S,14152002,2002-01-31,2099-12-31,
75860,Constipation,Condition,SNOMED,Clinical Finding,S,14760008,2002-01-31,2099-12-31,
4033233,Peripheral blood smear interpretation,Measurement,SNOMED,Procedure,S,14768001,2002-01-31,2099-12-31,
43530685,Proliferative retinopathy due to type 2 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,1501000119109,2013-07-31,2099-12-31,
4034691,Hospital admission for isolation,Observation,SNOMED,Procedure,S,1505002,2002-01-31,2099-12-31,
4035793,Pulmonary rehabilitation,Procedure,SNOMED,Procedure,S,15081005,2002-01-31,2099-12-31,
43530656,Nonproliferative retinopathy due to type 2 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,1551000119108,2013-07-31,2099-12-31,
40318618,Complete miscarriage,Condition,SNOMED,Clinical Finding,S,156073000,2013-07-31,2099-12-31,
42535066,Ultrasonography of bilateral breasts,Procedure,SNOMED,Procedure,S,1571000087109,2018-01-31,2099-12-31,
45757499,Proteinuria due to type 2 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,157141000119108,2015-01-31,2099-12-31,
4048695,Fracture of vertebral column without spinal cord injury,Condition,SNOMED,Clinical Finding,S,15724005,2002-01-31,2099-12-31,
4306084,Dislocation of hip joint,Condition,SNOMED,Clinical Finding,S,157265008,2005-07-31,2099-12-31,
375800,Dystonia,Condition,SNOMED,Clinical Finding,S,15802004,2002-01-31,2099-12-31,
4052041,Diabetic diet,Observation,SNOMED,Clinical Finding,S,160670007,2002-01-31,2099-12-31,
4053080,Social migrant,Observation,SNOMED,Clinical Finding,S,160701002,2002-01-31,2099-12-31,
4053118,Full-time employment,Observation,SNOMED,Clinical Finding,S,160903007,2002-01-31,2099-12-31,
4059634,Part-time employment,Observation,SNOMED,Clinical Finding,S,160904001,2002-01-31,2099-12-31,
4059650,Risk activity involvement,Condition,SNOMED,Clinical Finding,S,160968000,2002-01-31,2099-12-31,
4059173,Fracture of ankle,Condition,SNOMED,Clinical Finding,S,16114001,2002-01-31,2099-12-31,
4058421,H/O: upper limb amputation,Observation,SNOMED,Context-dependent,S,161621004,2002-01-31,2099-12-31,
4058850,H/O: lower limb amputation,Observation,SNOMED,Context-dependent,S,161622006,2002-01-31,2099-12-31,
4038238,Suspected lung cancer,Observation,SNOMED,Context-dependent,S,162573006,2002-01-31,2099-12-31,
4036803,General examination of patient,Procedure,SNOMED,Procedure,S,162673000,2002-01-31,2099-12-31,
4037675,Brief general examination,Procedure,SNOMED,Procedure,S,162676008,2002-01-31,2099-12-31,
4060985,Body mass index 30+ - obesity,Observation,SNOMED,Clinical Finding,S,162864005,2002-01-31,2099-12-31,
4014117,Gonorrhea infection titer test,Measurement,SNOMED,Procedure,S,165829005,2002-01-31,2099-12-31,
4040976,Behavioral therapy,Procedure,SNOMED,Procedure,S,166001,2002-01-31,2099-12-31,
37109104,Awaiting transplantation of lung,Observation,SNOMED,Context-dependent,S,16602611000119108,2017-07-31,2099-12-31,
4055982,Sputum microscopy,Procedure,SNOMED,Procedure,S,167995008,2002-01-31,2099-12-31,
4060626,Ultrasound scan for fetal viability,Procedure,SNOMED,Procedure,S,169230002,2002-01-31,2099-12-31,
4059978,Insertion of subcutaneous contraceptive,Procedure,SNOMED,Procedure,S,169553002,2002-01-31,2099-12-31,
4060266,Antenatal RhD antibody screening,Measurement,SNOMED,Procedure,S,169673001,2002-01-31,2099-12-31,
4015149,Postnatal visit,Observation,SNOMED,Procedure,S,169762003,2002-01-31,2099-12-31,
4062205,Allergic disorder monitoring,Observation,SNOMED,Procedure,S,170836005,2002-01-31,2099-12-31,
4062206,Allergic disorder initial assessment,Observation,SNOMED,Procedure,S,170837001,2002-01-31,2099-12-31,
4062207,Allergic disorder follow-up assessment,Observation,SNOMED,Procedure,S,170838006,2002-01-31,2099-12-31,
4062639,Meningocele,Condition,SNOMED,Clinical Finding,S,171131006,2002-01-31,2099-12-31,
4064377,Depression screening,Measurement,SNOMED,Procedure,S,171207006,2002-01-31,2099-12-31,
4062501,Asthma screening,Measurement,SNOMED,Procedure,S,171231001,2002-01-31,2099-12-31,
4064933,Urine screening,Measurement,SNOMED,Procedure,S,171245007,2002-01-31,2099-12-31,
4068785,Diagnostic fiberoptic bronchoscopy,Procedure,SNOMED,Procedure,S,173160006,2002-01-31,2099-12-31,
4066995,Fracture of vertebral column with spinal cord injury,Condition,SNOMED,Clinical Finding,S,1734006,2002-01-31,2099-12-31,
4070352,Transposition of submandibular duct,Procedure,SNOMED,Procedure,S,173521004,2002-01-31,2099-12-31,
4073422,Spontaneous breech delivery,Procedure,SNOMED,Procedure,S,177157003,2002-01-31,2099-12-31,
4074398,Cauterization of choroid plexus,Procedure,SNOMED,Procedure,S,17881005,2002-01-31,2099-12-31,
4108565,Amputation of the foot,Procedure,SNOMED,Procedure,S,180030006,2002-01-31,2099-12-31,
4108705,Intravenous blood transfusion of packed cells,Procedure,SNOMED,Procedure,S,180207008,2002-01-31,2099-12-31,
4107731,Subcutaneous immunotherapy,Procedure,SNOMED,Procedure,S,180256009,2002-01-31,2099-12-31,
4078793,Direct current cardioversion,Procedure,SNOMED,Procedure,S,180325003,2002-01-31,2099-12-31,
4057262,Hyposensitization to allergens,Procedure,SNOMED,Procedure,S,182678001,2002-01-31,2099-12-31,
4082264,Monitoring of patient,Observation,SNOMED,Procedure,S,182777000,2002-01-31,2099-12-31,
4057411,Review of medication,Procedure,SNOMED,Procedure,S,182836005,2002-01-31,2099-12-31,
4056956,Doctor stopped drugs - medical aim achieved,Observation,SNOMED,Clinical Finding,S,182846007,2002-01-31,2099-12-31,
4057420,Catheter ablation of tissue of heart,Procedure,SNOMED,Procedure,S,18286008,2002-01-31,2099-12-31,
4082728,Terminal care,Observation,SNOMED,Procedure,S,182964004,2002-01-31,2099-12-31,
4082542,Recommendation to rest,Procedure,SNOMED,Procedure,S,183051005,2002-01-31,2099-12-31,
4079768,Low salt diet education,Procedure,SNOMED,Procedure,S,183063000,2002-01-31,2099-12-31,
45757532,Every twelve hours as required,Observation,SNOMED,Qualifier Value,S,1831000175103,2015-01-31,2099-12-31,
4084182,Physical exercises,Observation,SNOMED,Procedure,S,183301007,2002-01-31,2099-12-31,
4079608,Anti-suicide psychotherapy,Procedure,SNOMED,Procedure,S,183401008,2002-01-31,2099-12-31,
4083133,Potential suicide care,Procedure,SNOMED,Procedure,S,183402001,2002-01-31,2099-12-31,
4084216,Admission to burn unit,Observation,SNOMED,Procedure,S,183450002,2002-01-31,2099-12-31,
4079617,Emergency hospital admission,Observation,SNOMED,Procedure,S,183452005,2002-01-31,2099-12-31,
4080059,Obstetric emergency hospital admission,Observation,SNOMED,Procedure,S,183460006,2002-01-31,2099-12-31,
4084667,Emergency hospital admission for asthma,Observation,SNOMED,Procedure,S,183478001,2002-01-31,2099-12-31,
4084675,Non-urgent orthopedic admission,Observation,SNOMED,Procedure,S,183495009,2002-01-31,2099-12-31,
4084838,Postoperative visit,Observation,SNOMED,Clinical Finding,S,183646003,2002-01-31,2099-12-31,
4081277,Inpatient stay 3 days,Observation,SNOMED,Clinical Finding,S,183801001,2002-01-31,2099-12-31,
4085017,Referral to hypertension clinic,Observation,SNOMED,Procedure,S,183856001,2002-01-31,2099-12-31,
258780,Emphysematous bronchitis,Condition,SNOMED,Clinical Finding,S,185086009,2002-01-31,2099-12-31,
4089036,Telephone encounter,Observation,SNOMED,Procedure,S,185317003,2002-01-31,2099-12-31,
4088569,Encounter for symptom,Observation,SNOMED,Procedure,S,185345009,2002-01-31,2099-12-31,
4085798,Encounter for problem,Observation,SNOMED,Procedure,S,185347001,2002-01-31,2099-12-31,
4085799,Encounter for check up,Observation,SNOMED,Procedure,S,185349003,2002-01-31,2099-12-31,
4089050,Follow-up visit,Observation,SNOMED,Procedure,S,185389009,2002-01-31,2099-12-31,
4078199,Epidural anesthesia,Procedure,SNOMED,Procedure,S,18946005,2002-01-31,2099-12-31,
441267,Cystic fibrosis,Condition,SNOMED,Clinical Finding,S,190905008,2002-01-31,2099-12-31,
4078393,Miscarriage in first trimester,Condition,SNOMED,Clinical Finding,S,19169002,2002-01-31,2099-12-31,
440086,Child attention deficit disorder,Condition,SNOMED,Clinical Finding,S,192127007,2002-01-31,2099-12-31,
4055754,Impacted molars,Condition,SNOMED,Clinical Finding,S,196416002,2002-01-31,2099-12-31,
4112343,Acute viral pharyngitis,Condition,SNOMED,Clinical Finding,S,195662009,2002-01-31,2099-12-31,
317009,Asthma,Condition,SNOMED,Clinical Finding,S,195967001,2002-01-31,2099-12-31,
4056621,Recurrent urinary tract infection,Condition,SNOMED,Clinical Finding,S,197927001,2002-01-31,2099-12-31,
137613,Eclampsia in pregnancy,Condition,SNOMED,Clinical Finding,S,198992004,2002-01-31,2099-12-31,
255891,Lupus erythematosus,Condition,SNOMED,Clinical Finding,S,200936003,2002-01-31,2099-12-31,
75036,"Localized, primary osteoarthritis of the hand",Condition,SNOMED,Clinical Finding,S,201834006,2002-01-31,2099-12-31,
40405599,Fibromyalgia,Condition,SNOMED,Clinical Finding,S,203082005,2016-01-31,2099-12-31,
193591,Meconium ileus,Condition,SNOMED,Clinical Finding,S,206523001,2002-01-31,2099-12-31,
4018483,Domiciliary or rest home patient evaluation and management,Observation,SNOMED,Procedure,S,210098006,2002-01-31,2099-12-31,
4329728,Spasticity,Condition,SNOMED,Clinical Finding,S,221360009,2002-01-31,2099-12-31,
4329041,Pain,Condition,SNOMED,Clinical Finding,S,22253000,2002-01-31,2099-12-31,
4329847,Myocardial infarction,Condition,SNOMED,Clinical Finding,S,22298006,2002-01-31,2099-12-31,
4073053,Discussion about hygiene,Procedure,SNOMED,Procedure,S,223472008,2002-01-31,2099-12-31,
4075082,Discussion about treatment,Procedure,SNOMED,Procedure,S,223484005,2002-01-31,2099-12-31,
4072733,Only received primary school education,Observation,SNOMED,Clinical Finding,S,224295006,2002-01-31,2099-12-31,
4076230,Received higher education,Observation,SNOMED,Clinical Finding,S,224299000,2002-01-31,2099-12-31,
4074924,Served in armed forces,Observation,SNOMED,Clinical Finding,S,224355006,2002-01-31,2099-12-31,
4076772,Application of moisturizer to skin,Procedure,SNOMED,Procedure,S,225130001,2002-01-31,2099-12-31,
4075363,Auscultation of the fetal heart,Procedure,SNOMED,Procedure,S,225158009,2002-01-31,2099-12-31,
4330583,Vasectomy,Procedure,SNOMED,Procedure,S,22523008,2002-01-31,2099-12-31,
4024603,Insulin regime,Procedure,SNOMED,Procedure,S,225302006,2002-01-31,2099-12-31,
4022116,Restriction of movement,Observation,SNOMED,Procedure,S,225317005,2002-01-31,2099-12-31,
4021160,Smoking cessation education,Procedure,SNOMED,Procedure,S,225323000,2002-01-31,2099-12-31,
4021192,Suicide risk assessment,Procedure,SNOMED,Procedure,S,225337009,2002-01-31,2099-12-31,
4021315,Wound care,Observation,SNOMED,Procedure,S,225358003,2002-01-31,2099-12-31,
4021336,At risk for suicide,Condition,SNOMED,Clinical Finding,S,225444004,2002-01-31,2099-12-31,
4021636,Every four hours,Observation,SNOMED,Qualifier Value,S,225756002,2002-01-31,2099-12-31,
4026063,Every four to six hours,Observation,SNOMED,Qualifier Value,S,225757006,2002-01-31,2099-12-31,
4022567,Exercises,Observation,SNOMED,Procedure,S,226029000,2002-01-31,2099-12-31,
4022270,Stress management,Procedure,SNOMED,Procedure,S,226060000,2002-01-31,2099-12-31,
4022703,Alcohol-free diet,Observation,SNOMED,Clinical Finding,S,226138001,2002-01-31,2099-12-31,
4022846,Healthy diet,Observation,SNOMED,Clinical Finding,S,226234005,2002-01-31,2099-12-31,
4043071,Cognitive and behavioral therapy,Procedure,SNOMED,Procedure,S,228557008,2002-01-31,2099-12-31,
4040783,Movement therapy,Observation,SNOMED,Procedure,S,229064008,2002-01-31,2099-12-31,
4045289,Exercise therapy,Observation,SNOMED,Procedure,S,229065009,2002-01-31,2099-12-31,
4040786,Posture training,Procedure,SNOMED,Procedure,S,229069003,2002-01-31,2099-12-31,
4045290,Stretching exercises,Observation,SNOMED,Procedure,S,229070002,2002-01-31,2099-12-31,
4040791,Exercise class,Observation,SNOMED,Procedure,S,229095001,2002-01-31,2099-12-31,
4038350,Lower limb exercises,Observation,SNOMED,Procedure,S,229152003,2002-01-31,2099-12-31,
4042358,Breathing control,Observation,SNOMED,Procedure,S,229298005,2002-01-31,2099-12-31,
4042699,Ice bath treatment,Procedure,SNOMED,Procedure,S,229578001,2002-01-31,2099-12-31,
4046708,Ice therapy,Procedure,SNOMED,Procedure,S,229580007,2002-01-31,2099-12-31,
4040258,"Rest, ice, compression and elevation treatment program",Procedure,SNOMED,Procedure,S,229586001,2002-01-31,2099-12-31,
4043241,Familial Alzheimer's disease of early onset,Condition,SNOMED,Clinical Finding,S,230265002,2002-01-31,2099-12-31,
381316,Cerebrovascular accident,Condition,SNOMED,Clinical Finding,S,230690007,2002-01-31,2099-12-31,
4043738,Hydrocephalus,Condition,SNOMED,Clinical Finding,S,230745008,2002-01-31,2099-12-31,
44790186,Delivery of rehabilitation for spinal cord injury,Procedure,SNOMED,Procedure,S,231181000000100,2006-10-02,2099-12-31,
439406,Allergy to animal dander,Observation,SNOMED,Clinical Finding,S,232347008,2002-01-31,2099-12-31,
4048169,Allergy to dust mite protein,Observation,SNOMED,Clinical Finding,S,232350006,2002-01-31,2099-12-31,
4048171,Perennial allergic rhinitis with seasonal variation,Condition,SNOMED,Clinical Finding,S,232353008,2002-01-31,2099-12-31,
4337611,Single lung transplant,Procedure,SNOMED,Procedure,S,232657004,2002-01-31,2099-12-31,
4336464,Coronary artery bypass graft,Procedure,SNOMED,Procedure,S,232717009,2002-01-31,2099-12-31,
4338594,Implantation of left ventricular assist device,Procedure,SNOMED,Procedure,S,232967006,2002-01-31,2099-12-31,
255848,Pneumonia,Condition,SNOMED,Clinical Finding,S,233604007,2002-01-31,2099-12-31,
4051466,Childhood asthma,Condition,SNOMED,Clinical Finding,S,233678006,2002-01-31,2099-12-31,
4052083,Measurement of respiratory function,Measurement,SNOMED,Procedure,S,23426006,2002-01-31,2099-12-31,
4120961,Excision of axillary lymph node,Procedure,SNOMED,Procedure,S,234262008,2002-01-31,2099-12-31,
4120613,Acquired coagulation disorder,Condition,SNOMED,Clinical Finding,S,234466008,2002-01-31,2099-12-31,
4124191,Insertion of oral appliance for the handicapped,Procedure,SNOMED,Procedure,S,234817001,2002-01-31,2099-12-31,
318800,Gastroesophageal reflux disease,Condition,SNOMED,Clinical Finding,S,235595009,2002-01-31,2099-12-31,
196456,Gallstone,Condition,SNOMED,Clinical Finding,S,235919008,2002-01-31,2099-12-31,
4341247,Protracted diarrhea,Condition,SNOMED,Clinical Finding,S,236077008,2002-01-31,2099-12-31,
