ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
46293780,1115171,2,3
46295408,1115171,2,3
46298265,1539411,2,3
46299663,1127433,2,3
46301740,1115171,2,3
46303166,1115171,2,3
46303718,1115171,2,3
46303846,1115171,2,3
46304879,1127433,2,3
46305115,1115171,2,3
46306311,1127433,2,3
46307371,1539411,2,3
46309761,1539411,2,3
46313331,1115171,2,3
46314215,1115171,2,3
46315331,1115171,2,3
46317384,1115171,2,3
581555,40173379,1,1
581705,1127527,1,1
581917,1174888,0,0
582042,1154459,1,1
590798,1174888,0,0
590807,1343916,0,0
590839,1174888,0,0
596849,1308304,1,1
597409,1519940,1,1
620402,1332418,0,0
620402,40008978,1,2
620487,1127527,1,1
620506,1127527,1,1
620506,40173379,1,1
620514,1127527,1,1
628410,1308304,1,1
628459,1545958,0,0
628459,40095247,1,2
630929,40033943,1,2
630929,40173379,1,1
630943,1322184,0,0
630943,1322187,1,1
630943,40095878,1,2
630977,1115170,1,1
634235,40173379,1,1
634282,1174888,0,0
706714,40033943,1,2
706714,40173379,1,1
710752,1545958,0,0
710752,40095247,1,2
728107,1127527,1,1
728121,40173379,1,1
736203,1115170,1,1
736328,40000499,1,2
736391,1127527,1,1
736391,40173379,1,1
757911,1322184,0,0
757911,1322187,1,1
757911,40095878,1,2
757963,1332418,0,0
757963,40008978,1,2
757996,1127527,1,1
767470,1154459,1,1
767522,1332418,0,0
767522,40008978,1,2
770063,1343916,0,0
772974,40000499,1,2
795699,1174888,0,0
795737,40000499,1,2
795880,1332418,0,0
798950,40228548,1,1
798997,1154459,1,1
799115,1127527,1,1
799132,1127527,1,1
816903,1115170,1,1
816903,40173379,1,1
817053,1174888,0,0
817065,1127527,1,1
817080,1174888,0,0
817092,1174888,0,0
817330,1174888,0,0
817353,1521369,0,0
820392,1545958,0,0
820392,40095247,1,2
820402,1545958,0,0
820402,40095247,1,2
820508,1322184,0,0
820508,1322187,1,1
820508,40095878,1,2
820621,40173379,1,1
820728,1127527,1,1
820821,1332418,0,0
820843,40033943,1,2
820843,40173379,1,1
820991,1174888,0,0
824838,1332418,0,0
824871,1174888,0,0
824903,1332418,0,0
824951,1127527,1,1
825006,1322184,0,0
825006,1322187,1,1
825006,40095878,1,2
825038,1332418,0,0
825105,40033943,1,2
825105,40173379,1,1
825129,1127527,1,1
825129,40173379,1,1
825480,1115170,1,1
830261,1545958,0,0
830261,40095247,1,2
830302,1545958,0,0
830302,40095247,1,2
830312,1545958,0,0
830312,40095247,1,2
830395,1115170,1,1
830644,1115170,1,1
830671,1127527,1,1
830675,40173379,1,1
835782,1127527,1,1
970571,1332418,0,0
970571,40008978,1,2
984158,1332418,0,0
1000374,1115170,1,1
1000524,1343916,0,0
1110345,1521369,0,0
1117785,1127527,1,1
1117785,40173379,1,1
1117901,1545958,0,0
1117901,40095247,1,2
1117949,1115170,1,1
1117956,1127527,1,1
1117956,40173379,1,1
1117986,40033943,1,2
1117986,40173379,1,1
1143176,1154459,1,1
1143310,40033943,1,2
1143310,40173379,1,1
1143342,1332418,0,0
1143342,40008978,1,2
1145106,1332418,0,0
1145106,40008978,1,2
1145346,1545958,0,0
1145346,40095247,1,2
1160057,1115170,1,1
1160131,40000499,1,2
1160143,35604747,2,3
1160143,40224804,1,1
1160164,1115170,1,1
1160368,1521369,0,0
1160403,40033943,1,2
1160403,40173379,1,1
1160407,1332418,0,0
1169426,40228548,1,1
1169510,1343916,0,0
