Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,18683.18,1244.74,20250.00,20,0,10,0,11,0,14,0,2,0.36474946640619377,96
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,2717439.60,187603.14,374000.00,645,0,159,0,763,0,202,0,11,0.5476177570398624,1560
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,0.00,790108.39,2162400.00,196,31,0,75,0,270,0,174,21,0.8816182696149214,1296
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,381905.18,210952.69,2061000.00,236,0,95,0,220,0,175,0,22,0.9161998906266257,1152
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,192.87,905314.46,2192600.00,174,54,0,75,0,287,0,125,18,0.7960775732084332,1188
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,510.93,534218.12,2742000.00,215,36,0,121,0,191,0,159,21,0.9017314136131876,1368
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,3744.06,568550.24,2736300.00,185,46,0,107,0,202,0,154,20,0.8613843078328849,1332
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,206.22,1111059.30,3502400.00,135,170,0,152,0,327,0,171,21,0.8835084403617116,1608
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,5444026.57,0.00,0,707,0,105,0,1088,0,187,2,1.4797121332978853,1116
